id,name,lat,lng,category,country,city,sources,url,tags
6290,Beynes en Transition,48.8558793,1.8735151,ecovillage,FR,,Murmurations,beynesentransition.fr,Transition Group
6291,Biellese in Transizione,45.564463,8.104522,ecovillage,IT,,Murmurations,bielleseintransizione.wordpress.com,Transition Group
6292,ECCOVILA,-10.3333333,-53.2,ecovillage,BR,,Murmurations,bit.ly/eccovila,Transition Group
6293,Fujino,35.61589,139.1521791,ecovillage,JP,Fujino,Murmurations,blog.canpan.info/team-80,Transition Group
6294,Bluepingu e.V.,49.448578,11.0788889387508,ecovillage,DE,Nürnberg,Murmurations,bluepingu.de,Transition Group
6295,Bonn im Wandel – Transition Initiative of Bonn,50.717518,7.157131,ecovillage,DE,Bonn,Murmurations,bonnimwandel.de,Transition Group
6296,AMAP Bio'Gustin,44.83501,-0.58727,solidarity_economy,FR,Bordeaux,Murmurations|Transiscope,http://amap-biogustin.fr,Près De Chez Nous|Transition Group
6297,Boucles de la Marne En Transition,48.840305,2.503506,ecovillage,FR,Le Perreux/Marne,Murmurations,bouclesdelamarneentransition.fr,Transition Group
6298,Bourg-la-reine en Transition,48.7808809,2.3154615,ecovillage,FR,,Murmurations,bourg-la-reine-en-transition.fr,Transition Group
6299,Bretagne Transition,47.83255304,-3.797125817,ecovillage,FR,Nevez,Murmurations,bretagnetransition.strikingly.com,Transition Group
6300,Campagnola Emilia,44.842434,10.764643,ecovillage,IT,,Murmurations,campagnolaintransizione.wordpress.com,Transition Group
6301,Caravana por la Paz y la Restauración de la Madre Tierra,-35.767151,-71.3678393,ecovillage,CL,Comuna de Colbún,Murmurations,caravanaporlapazylarestauraciondelamadretierra.org,Transition Group
6302,Cardedeu en Transició,41.63857,2.357459,ecovillage,ES,Cardedeu,Murmurations,cardedeuentransicio.wordpress.com,Transition Group
6303,Cardiff Transition,51.4810946,-3.1825682,ecovillage,,Cardiff,Murmurations,cardifftransition.com,Transition Group
6304,Challenge Lab,57.6885316,11.9796637,ecovillage,SE,Gotheburg,Murmurations,challengelab.chalmers.se,Transition Group
6305,Champigny en Transition,48.81615817,2.544302508,ecovillage,FR,Champigny-sur-Marne,Murmurations,champigny-en-transition.net,Transition Group
6306,Channel Living Inc,-43.156217,147.238503,ecovillage,AU,Woodbridge,Murmurations,channelliving.org,Transition Group
6307,MÁK – Mozgalom az Átalakuló Kecskemétért,46.9106548,19.6866685,ecovillage,HU,Kecskemét,Murmurations,civilla.hu,Transition Group
6308,Creusot-Montceau en Transition,46.737735,4.3032966,ecovillage,FR,Communauté Urbaine Le Creusot-Montceau,Murmurations,cm-en-transition.fr,Transition Group
